Point Cloud Visibility
43
Visibility for camera video5771447340057498062_frame00000.jpg
44 29.8341 965.269
45 52.8529 144.012
46 54.6599 123.988
47 55.5855 168.784
48 18.8656 1067.1
50 20.9164 1089.59
52 62.663 145.492
53 68.5789 88.4144
56 35.2705 1064.19
57 47.6538 979.107
58 72.435 191.351
59 74.7414 195.327
60 76.0257 165.487
61 41.2592 1050.82
62 52.9633 969.095
63 52.9633 969.095
64 75.8344 247.696
65 79.5363 81.8253
67 68.3289 878.165
68 41.2746 1084.74
69 69.1651 899.101
70 82.8017 299.138
71 85.7828 177.041
72 88.3773 71.0931
77 93.047 273.215
78 75.2182 929.051
79 54.172 1074.93
80 60.9571 1048.02
82 97.4309 325.817
83 60.3169 1054.97
85 53.1924 1113.93
86 58.9651 1083.58
87 54.9847 1122.1
88 63.5452 1100.95
89 66.5785 1089.67
90 55.9741 1166.4
91 64.0133 1116.9
94 123.08 356.025
95 95.2077 1010.92
96 127.821 184.925
100 136.049 272.07
101 103.88 1025.07
103 89.3768 1138.06
105 146.575 71.4724
106 142.16 551.466
108 147.176 108.305
109 149.635 209.724
111 148.672 331.414
112 147.967 545.928
113 160.68 398.052
114 161.05 560.114
115 163.716 209.981
117 115.122 1125.51
118 169.361 389.947
120 170.802 243.362
124 127.94 1122.78
125 133.992 1079.03
127 138.616 782.503
128 182.337 388.81
129 125.972 1167.88
130 138.777 1068.6
132 189.879 221.997
133 187.942 278.254
139 149.936 805.637
140 153.849 714.763
141 197.317 290.157
142 141.354 1157.58
143 154.246 859.181
144 154.246 859.181
147 200.307 264.583
148 143.392 1160.56
149 155.577 1016.74
155 165.426 793.672
159 195.819 1087.18
160 184.892 1159.88
161 202.45 1063.55
164 223.315 988.674
165 216.895 1101.62
169 271.936 179.176
172 230.893 1069.46
173 249.45 907.554
174 237.914 1132.38
176 272.284 861.61
178 258.635 1093.68
179 280.404 841.94
182 276.894 993.664
184 274.492 1024.11
185 289.175 851.491
187 301.51 702.383
189 302.288 711.912
190 314.561 631.591
193 302.786 857.983
194 299.05 993.083
198 360.176 501.811
199 311.75 1081.72
207 390.622 107.043
209 353.258 969.642
214 360.743 1060.1
215 363.358 1025.7
220 436.67 44.8204
223 419.17 799.237
224 419.17 799.237
230 431.009 913.605
231 437.456 853.776
233 453.87 684.766
234 426.012 1040.39
235 452.623 752.608
240 513.637 373.998
242 518.663 509.468
243 525.18 96.6655
245 495.655 771.652
247 529.149 375.638
249 535.449 279.722
251 505.567 792.845
252 547.527 120.397
253 475.329 1180.72
254 475.329 1180.72
258 506.614 1044.19
262 544.305 905.052
263 588.905 161.392
264 539.557 964.706
265 546.523 876.512
267 599.826 82.5284
268 550.332 1039.5
269 555.697 1010.27
270 555.697 1010.27
271 561.551 1021.71
272 581.997 795.64
273 613.222 766.803
274 642.251 593.24
275 645.452 517.328
276 623.814 778.563
277 658.366 110.12
278 655.646 586.628
280 10.2925 822.629
281 15.1704 1062.25
282 18.7628 176.205
283 20.2194 1265.53
284 21.9061 118.243
285 29.9266 1087.76
286 30.0314 1153.72
287 31.5065 852.546
288 32.2579 1049.2
289 36.4104 908.184
290 38.8104 833.288
291 40.6887 867.973
292 46.4779 1062.05
293 47.074 81.2892
294 53.6258 847.4
295 64.1364 884.595
296 72.9974 1039.18
297 77.9103 147.383
298 80.9711 358.15
299 82.8503 1084.71
300 87.743 16.0022
301 89.7554 1062.47
302 92.039 1125.86
303 92.2483 669.224
304 112.619 392.596
305 116.275 194.544
306 121.136 1075.82
307 125.043 1104.6
308 125.877 1242.48
309 126.106 173.613
310 129.108 106.299
311 131.345 275.139
312 133.475 381.215
313 134.803 1093.08
314 135.921 222.247
315 139.485 358.089
316 141.086 198.635
317 144.573 294.27
318 147.474 1219.43
319 148.734 254.991
320 151.577 763.431
321 154.314 1262.64
322 158.696 206.387
323 160.518 82.3841
324 160.68 398.052
325 164.334 546.127
326 167.045 1010.73
327 171.315 276.873
328 171.484 399.547
329 173.577 750.008
330 179.493 85.4318
331 182.622 1048.1
332 184.309 268.56
333 184.461 188.571
334 185.68 1068.26
335 187.163 830.925
336 188.932 335.819
337 192.504 847.892
338 192.938 999.248
339 197.065 750.426
340 197.931 664.968
341 198.422 674.887
342 198.422 674.887
343 202.378 1157.74
344 202.69 1082.49
345 207.616 1006.28
346 209.277 141.952
347 220.638 1142.1
348 222.649 981.869
349 231.045 1055.03
350 232.545 1231.1
351 236.864 696.027
352 254.211 977.589
353 254.587 1044.94
354 255.743 1074.01
355 265.939 992.728
356 267.879 806.129
357 278.709 1141.65
358 279.839 903.285
359 282.716 408.006
360 283.003 1052.79
361 284.669 992.666
362 286.143 1175.33
363 286.803 863.716
364 311.521 1265.77
365 316.912 921.384
366 318.767 1261.79
367 333.782 1064.79
368 335.905 1056.46
369 343.843 734.048
370 348.8 991.099
371 361.242 884.62
372 370.317 345.815
373 371.3 1143.35
374 388.396 1018.23
375 401.519 1169.27
376 407.41 904.904
377 408.871 1058.05
378 426.123 449.678
379 433.471 1217.43
380 433.629 1034.09
381 436.178 992.703
382 438.712 1033.13
383 439.331 1210.49
384 439.331 1210.49
385 441.83 1260.88
386 446.94 853.452
387 446.94 853.452
388 448.111 897.686
389 460.723 446.677
390 465.368 1148.5
391 479.869 970.035
392 502.365 961.544
393 504.362 1222.84
394 508.117 754.767
395 511.773 1184.08
396 514.282 1193.69
397 517.682 130.01
398 519.788 968.832
399 522.439 620.935
400 524.609 504.439
401 524.609 504.439
402 535.036 111.659
403 538.848 1202.14
404 552.055 1215.8
405 563.321 1241.97
406 565.702 671.077
407 584.637 882.884
408 588.873 1049.64
409 596.956 1218.51
410 616.874 1118.83
411 618.645 1203.04
412 620.419 960.067
413 627.56 1036.61
414 632.198 1212.62
415 633.929 1038.5
416 635.493 801.009
417 637.747 1002.69
418 642.835 524.017
419 644.175 510.047
420 645.1 1072.57
421 648.253 1202.19
422 652.736 1239.31
423 654.32 791.464
424 655.074 373.665
425 655.074 373.665
426 657.787 845.415
427 670.096 96.5807
428 672.742 1206.35
429 683.558 492.288
Visibility for camera video5771447340057498062_frame00002.jpg
291
45 7.5975 125.911
52 17.028 127.483
53 23.5915 70.862
55 25.0704 204.347
58 27.6581 173.895
60 30.608 147.881
65 35.5897 63.2069
66 33.1201 281.471
70 36.3566 282.681
71 38.6859 159.482
74 44.3925 169.046
75 44.3925 169.046
76 44.6195 366.336
81 52.778 209.364
84 51.7463 293.45
92 67.4236 355.737
93 67.1783 235.16
96 82.9739 167.635
97 82.9739 167.635
98 86.3384 258.799
99 91.1552 164.631
104 98.7512 361.347
107 94.8483 526.857
108 103.968 90.3117
109 105.49 192.382
111 103.417 313.601
112 100.115 530.535
113 115.403 382.871
114 112.491 544.872
118 124.407 374.444
123 133.917 341.748
128 137.326 373.568
133 143.669 262.04
134 146.567 324.409
140 16.5789 700.191
141 153.788 275.054
149 16.2646 1003.96
150 19.8045 1046.58
151 166.266 99.6898
153 28.9396 726.031
155 28.3263 779.84
156 31.5662 744.514
158 45.2028 1036.35
159 56.0776 1076.35
160 24.2487 1148.61
161 65.8361 1051.95
162 216.32 129.683
163 79.8612 1055.56
164 99.1556 976.431
165 74.3436 1091.04
167 231.493 96.994
169 231.546 162.129
170 139.35 812.399
172 97.2467 1059.24
173 135.977 895.834
174 85.886 1123.25
176 169.866 848.934
177 269.532 412.975
178 117.869 1083.75
179 177.762 829.405
182 155.04 982.646
187 221.139 689.816
189 220.867 698.914
190 242.456 617.354
193 200.347 846.511
194 178.336 982.933
196 152.082 1100.62
199 176.93 1072.59
200 199.183 987.702
206 237.085 909.17
207 351.591 88.468
208 210.504 1042.35
209 235.404 960.031
214 233.199 1051.25
215 236.546 1016.84
221 231.814 1115.61
222 410.548 422.689
223 329.66 788.999
224 329.66 788.999
225 372.068 632.244
226 415.605 37.4807
228 304.101 955.007
231 341.839 844.099
233 383.346 673.361
234 301.237 1032.73
235 371.634 743.155
238 320.476 1023.12
240 479.819 361.492
241 371.781 888.377
243 488.562 80.6018
245 409.841 762.266
247 496.131 363.85
248 355.827 1018.12
250 503.953 330.027
252 510.11 104.375
254 311.461 1177.2
256 402.152 944.131
257 344.658 1117.97
258 384.782 1038.78
260 526.196 103.804
261 395.486 1038.71
262 442.792 897.15
